gisid,setbacks,setback
263-23,7.5,1
201-95,7.5,1
26-37,7.5,0
36-203,7.5,1
121-104,7.76,1
220-161,10.0,1
262-131,7.5,0
80-46,7.5,1
184-198,7.5,1
79-19,7.5,1
110-86,7.5,1
258-27,7.5,1
107-59,7.52,1
36-93,7.96,1
101-128,7.5,1
23-36,7.5,1
202-31,7.5,1
22-69,8.84,1
122-136,7.5,1
263-82,7.5,1
90-158,7.5,1
127-141,7.5,1
218-4,10.0,0
102-113,7.5,1
175-2,7.5,1
132-51,8.16,1
205-32,7.5,1
147-26,10.0,0
181-76,7.5,1
120-105,7.5,0
247-168,7.5,1
169-96,7.58,0
112-78,9.5,1
191-68,7.5,1
173-35,7.5,0
103-4,7.5,1
233-134,7.5,1
237-56,7.5,1
101-39,7.5,1
109-69,7.7,1
267A-209,7.5,1
114A-58,7.5,1
199-126,7.5,0
224-42,12.94,1
207-67,10.0,0
215-19,13.96,1
36-103,7.5,1
115-103,7.5,1
141-22,7.5,1
258-24,7.5,1
109-71,7.5,1
268A-30,7.5,0
189-40,7.5,1
98-83,7.5,1
116-106,10.72,0
230-62,7.5,1
173-13,7.5,1
247-218,7.5,1
114-47,7.5,1
102-46,7.5,1
227-110,7.5,0
228-11,7.5,1
199-145,7.5,0
110-43,7.5,1
101-187,7.5,0
180-4,7.5,1
191-62,7.5,1
247-127,7.5,1
186-65,5.0,1
184-48,7.5,1
89-53,7.9,1
120-26,9.04,1
223-59,15.0,0
209-35,7.5,1
115-11,7.88,1
33-45,7.5,1
181-202,7.5,0
100-51,7.5,1
167-71,10.0,1
131-41,7.5,1
186-62,7.5,1
263-102,7.5,1
78-64,7.5,1
24-88,11.96,0
97-86,7.5,1
119-20,7.5,1
174-91,7.5,0
101-53,7.5,1
154-81,7.5,1
167-6,10.0,1
200-10,7.5,1
191-15,7.5,1
140-67,4.66,0
161-73,9.85,1
207-17,7.5,1
236-5,15.0,1
40-22,7.5,1
86-20,7.5,1
205-16,7.5,1
220-154,10.0,1
89-97,7.5,1
113-71,7.5,1
240-39,7.5,1
36-75,7.5,1
255-15,7.5,1
191-114,7.5,0
77-11,7.5,1
19-57,7.5,1
87-119,7.5,1
121-41,7.88,1
258-67,7.5,1
129-54,7.8,1
202-111,7.5,1
154-113,7.5,1
103-112,7.5,1
22-134,8.84,1
248-85,7.5,1
87-103,7.5,0
192-8,7.5,1
228-40,7.5,1
173-83,9.0,0
202-45,7.5,1
108-87,7.5,1
267D-312,1.74,0
40-183,8.36,1
225-18,10.0,1
190-156,7.5,1
238-35,15.0,1
229-133,7.5,0
199-18,7.5,1
124-88,7.5,1
174-93,7.5,1
25-14,7.5,1
267A-241,7.5,1
141-37,7.5,1
93-23,7.5,0
93-44,7.5,1
123-67,7.5,1
189-20,7.5,1
86-6,7.5,1
146-53,10.0,0
196-135,7.5,1
210-83,10.0,0
255-75,7.5,1
84-58,7.5,1
261-141,7.5,1
33-24,7.5,1
174-68,7.5,1
174-37,5.0,1
157-3,8.12,1
167-64,7.5,1
104-31,7.5,1
195-153,7.5,1
140-57,7.84,1
121-24,7.5,0
267A-246,7.5,0
119-53,7.58,1
224-13,10.0,1
140-79,7.5,1
193-101,7.5,1
150-118,7.5,0
233-27,7.5,1
120-17,15.0,0
22-59,7.5,1
76-53,7.5,1
199-74,7.5,1
140-148,11.92,1
240-52,15.0,1
261-120,7.5,0
151-39,7.5,1
112-97,9.12,1
221-96,7.5,1
167-77,10.0,1
192-152,7.5,1
258-63,7.5,1
193-124,7.5,1
199-24,7.5,1
123-84,7.5,1
78-24,8.26,1
117-36,8.44,0
192-138,7.5,1
229-153,7.5,0
183-9,7.5,1
176-13,9.42,1
25-5,7.5,1
260-35,7.5,1
40-61,7.5,1
73-124,7.5,1
128-70,14.0,1
251-134,10.0,1
261-131,7.5,1
267A-265,7.5,0
80-64,8.0,1
25-75,7.5,1
87-113,7.5,1
104-130,7.5,0
139-38,8.48,0
211-53,5.34,0
221-89,7.5,1
117-102,7.5,1
195-25,7.5,1
195-37,7.5,1
151-3,7.5,1
184-34,7.5,1
166-85,7.5,0
109-15,7.5,1
33-98,7.5,0
222-12,15.0,1
202-5,5.07142857143,0
166-72,16.1,1
121-53,7.5,1
190-265,7.5,1
236-10,15.0,1
195-71,7.5,1
242A-110,15.0,1
35-63,7.3,1
242A-138,15.0,1
210-74,10.0,0
34-13,7.5,1
231-46,10.0,0
175-35,7.5,1
36-14,7.5,1
206-80,7.5,1
264-34,7.5,1
184-63,7.5,1
224-40,10.0,1
108-84,7.5,1
262-124,7.5,1
194-43,7.5,1
174-88,7.5,0
237-77,15.0,0
154-59,7.5,1
266-25,10.0,1
98-12,7.5,1
17-22,7.5,1
166-77,4.93333333333,1
204-150,16.56,1
228-21,7.5,1
190-115,7.5,1
232-53,10.0,1
176-69,7.5,0
118-57,8.8,0
151-89,7.5,1
167-85,10.0,0
116-76,10.1,1
78-98,7.54,0
254-94,7.5,0
216-4,16.0,1
146A-130,10.0,0
109-12,7.6,1
40-233,7.5,0
115-71,10.62,1
256-89,7.5,1
229-68,7.5,1
115-111,7.82,1
254-100,7.5,0
34-138,17.9,1
114A-11,8.52,1
76-62,7.5,1
228-32,7.5,1
199-125,7.5,0
205-88,7.5,1
40-111,7.5,1
109-35,7.5,1
97-1,7.5,1
199-46,7.5,1
177-82,8.18,0
225-17,10.0,1
232-22,7.5,1
262-25,7.5,1
40-153,7.5,1
190-241,7.5,1
233-170,7.5,1
19-15,7.5,1
40-42,7.5,1
123-31,7.5,1
202-122,8.08,0
236-3,15.0,1
